Nom_du_festival,Code_postal_(de_la_commune_principale_de_deroulement),Commune_principale_de_deroulement,Region_principale_de_deroulement,Annee_de_creation_du_festival,Discipline_dominante,Site_internet_du_festival,Latitude,Longitude,Debut,Fin
Les Inclassables,6000,Nice,Provence-Alpes-Côte d'Azur,2018,Spectacle vivant,https://trans-lm.jimdofree.com/festival-1/,43.7119992661,7.23826889465,janvier,juin
La Nuit De L'Erdre,44390,Nort-sur-Erdre,Pays de la Loire,1998,Musique,www.lanuitdelerdre.fr,47.447122285,-1.51824792558,juin,septembre
Red Bull Music Festival Paris,75018,Paris,Île-de-France,01/01/1999 00:00,Musique,https://paris.redbullmusicacademy.com/,48.8927350746,2.34871193387,septembre,décembre
En Bonne Voix,33600,Pessac,Nouvelle-Aquitaine,2006,Musique,http://www.pessac.fr/,44.7915990521,-0.676303166277,juin,septembre
Fotofever,75001,Paris,Île-de-France,2011,"Arts visuels, arts numériques",https://www.fotofever.com/,48.8626304852,2.33629344655,janvier,juin
Lâcher D'Artistes,75011,Paris,Île-de-France,01/01/2009 00:00,Musique,http://www.manufacturechanson.org,48.8567,2.3508,janvier,juin
Les Zef Et Mer,22190,Plérin,Bretagne,2014,Musique,leszefetmer.bzh,48.5441732134,-2.77004635921,janvier,juin
Festival Médiéval De Sedan,8200,Sedan,Grand Est,1994,Spectacle vivant,https://www.chateau-fort-sedan.fr/festival-medieval/,49.697058875,4.9298505244,septembre,décembre
L'Enfance De L'Art,7130,Saint-Péray,Auvergne-Rhône-Alpes,2002,Spectacle vivant,https://www.ciezinzoline.org/,44.9410716967,4.82459034307,janvier,juin
Festival Occitan Festen'Oc,9400,Saurat,Occitanie,2002,Spectacle vivant,www.festenoc.com,42.883738441,1.50479848751,juin,septembre
Gospel Touch,31170,Tournefeuille,Occitanie,2011,Musique,http://www.gospeltouchfestival.com/,43.5781918597,1.33500697752,janvier,juin
Urbi & Orbi,8200,Sedan,Grand Est,2001,"Arts visuels, arts numériques",https://www.urbiorbi.photo,49.697058875,4.9298505244,janvier,juin
Accordéons Nous,47140,Trentels,Nouvelle-Aquitaine,2004,Musique,http://www.accordeonsnousatrentels.com/,44.4456964361,0.863931953648,janvier,juin
Festival D'Humour,1450,Villieu-Loyes-Mollon,Auvergne-Rhône-Alpes,2016,Spectacle vivant,https://www.mairievlm.fr/a545-festival-de-l-humour.html,45.932014998,5.22953071636,septembre,décembre
Corsica Polar,20000,Ajaccio,Corse,2006,"Cinéma, audiovisuel",http://polarcorse.kazeo.com/,41.9347926638,8.70132275974,juin,septembre
Festival International De La Bd,20000,Ajaccio,Corse,1996,"Livre, littérature",http://festivalbdajaccio.corsica/,41.9347926638,8.70132275974,septembre,décembre
Les Pontons Flingueurs,74000,Annecy,Auvergne-Rhône-Alpes,2012,"Livre, littérature",http://pontons.histoiredenparler.info/,45.8906432566,6.12551773598,juin,septembre
Les Musical'Été,74100,Annemasse,Auvergne-Rhône-Alpes,2006,Musique,https://www.annemasse.fr/que-faire-a-annemasse/se-divertir/temps-forts/festival-les-musicalete,46.1909730986,6.24250704322,juin,septembre
Team Peace Festival,53210,Argentré,Pays de la Loire,2018,Musique,https://www.hureaubooking.fr/team-peace-festival/,48.0906663644,-0.632122843282,janvier,juin
Festival D'Art Contemporain Festiv'Arts,64800,Arros-de-Nay,Nouvelle-Aquitaine,2008,"Arts visuels, arts numériques",http://festivarts.fr/,43.1823198948,-0.294968827477,janvier,juin
Festival International De Photographie Chambre07,7200,Aubenas,Auvergne-Rhône-Alpes,2017,"Arts visuels, arts numériques",www.chambre07.com,44.6102127084,4.39638981424,septembre,décembre
Caractères,89000,Auxerre,Bourgogne-Franche-Comté,2014,"Livre, littérature",https://www.festival-caracteres.fr/,47.793488225,3.58168281761,janvier,juin
Les Automnales De L'Orgue,84140,Avignon,Provence-Alpes-Côte d'Azur,1993,Musique,www.musique-sacree-en-avignon.org,43.9352448339,4.84071572505,septembre,décembre
Les Hivernales,84000,Avignon,Provence-Alpes-Côte d'Azur,1978,Spectacle vivant,www.hivernales-avignon.com,43.9352448339,4.84071572505,janvier,juin
Appel D'Air,41100,Azé,Centre-Val de Loire,2015,Pluridisciplinaire,http://appel-dair.com/,47.8570277979,0.997062059366,juin,septembre
Festival Piano Pic,65200,Bagnères-De-Bigorre,Occitanie,2007,Musique,https://www.piano-pic.fr,42.9758668859,0.132640694318,juin,septembre
Festival Escambis,46400,Bannes,Occitanie,2013,"Livre, littérature",https://www.espacioccitancarcinol.com/,44.8140344075,1.91798481725,janvier,juin
Complètement Barges,21910,Barges,Bourgogne-Franche-Comté,2019,Musique,https://completementbarges.wixsite.com/,47.2092455725,5.05951734595,juin,septembre
Les Eauditives,83670,Barjols,Provence-Alpes-Côte d'Azur,2008,"Livre, littérature",www.plainepage.com,43.5523879362,5.98777049612,janvier,juin
Festa Maio,20200,Bastia,Corse,2019,Musique,https://festamaio.corsica/,42.6864768806,9.42502133338,juin,septembre
Côté Jardin,37600,Beaulieu-lès-Loches,Centre-Val de Loire,2000,Spectacle vivant,WWW.NACELCULTURE.FR,47.1281892877,1.02294110179,janvier,juin
Festival L'Estival Musical,14970,Bénouville,Normandie,2020,Musique,https://www.facebook.com/FestivalEstivalMusical/,49.2437018681,-0.287859699989,juin,septembre
Festival Overlook,24100,Bergerac,Nouvelle-Aquitaine,1990,Musique,http://www.rocksane.com/,44.8543751872,0.486529423457,septembre,décembre
Résidence Nomade,24100,Bergerac,Nouvelle-Aquitaine,2017,Spectacle vivant,http://theatrelagargouille.com,44.8543751872,0.486529423457,septembre,décembre
Concert Épicurien De La Vache Folle,56230,Berric,Bretagne,2016,Musique,https://www.facebook.com/assolavachefolle,47.6385230566,-2.52752927952,septembre,décembre
Mardis Des Rives,25000,Besançon,Bourgogne-Franche-Comté,2013,Musique,https://www.mardisdesrives.fr/,47.2553872249,6.01948696494,juin,septembre
Lis Tes Ratures,33750,Beychac-et-Caillau,Nouvelle-Aquitaine,2011,"Livre, littérature",http://www.cdcsaintloubes.fr/la-culture-et-les-loisirs/lis-tes-ratures/,44.8720986802,-0.371061505246,janvier,juin
Euroclassic,57230,Bitche,Grand Est,1991,Musique,www.festival-euroclassic.eu,49.0473471719,7.459601871,juin,septembre
Festival Vagabonde,33000,Bordeaux,Nouvelle-Aquitaine,2014,Pluridisciplinaire,http://festivalvagabonde.fr,44.8572445351,-0.57369678116,janvier,juin
Marché De La Poésie,33000,Bordeaux,Nouvelle-Aquitaine,1999,"Livre, littérature",https://bordeaux-marche-de-la-poesie.fr/,44.8572445351,-0.57369678116,janvier,juin
Musical Écran,33000,Bordeaux,Nouvelle-Aquitaine,2015,"Cinéma, audiovisuel",http://www.bordeauxrock.com/,44.8572445351,-0.57369678116,janvier,juin
Beautiful Swamp Blues,62100,Calais,Hauts-de-France,2004,Musique,https://www.calais-cotedopale.com/12eme-edition-du-beautiful-swamp-blues-festival/,50.9502072754,1.87575566132,septembre,décembre
Festival International D'Orgue De Carnac,56340,Carnac,Bretagne,2018,Musique,https://www.facebook.com/orguecarnac,47.608433163,-3.06973611145,juin,septembre
Salon Du Livre De Cavignac,33620,Cavignac,Nouvelle-Aquitaine,2015,"Livre, littérature",http://www.cavignac.fr/culture-2/,45.096401427,-0.381910358061,janvier,juin
Les Estivales D'Artenetra,79370,Celles-sur-Belle,Nouvelle-Aquitaine,2007,Musique,http://www.artenetra.com,46.2405369288,-0.218181064771,juin,septembre
Festival Jazz360,33360,Cénac,Nouvelle-Aquitaine,2010,Musique,http://www.jazz360.fr/,44.7826946723,-0.456684447802,janvier,juin
Les Planches,66400,Céret,Occitanie,2006,Spectacle vivant,"https://www.villarddelans-correnconenvercors.com/offres/festival-des-planches-villard-de-lans-fr-3479359/#:~:text=Le%20Festival%20des%20Planches%20est,est%20un%20atelier%20th%C3%A9%C3%A2tre...",42.4739622057,2.75268021455,juin,septembre
Festival Du Regard,95000,Cergy-Pontoise,Île-de-France,2015,"Arts visuels, arts numériques",www.festivalduregard.fr,49.0401131567,2.05082123731,janvier,juin
Cinéma 35 En Fête,35510,Cesson-Sévigné,Bretagne,1992,"Cinéma, audiovisuel",www.cinema35.fr,48.1202268032,-1.59714447272,janvier,juin
Cirq'Ule,73000,Chambéry,Auvergne-Rhône-Alpes,2003,Spectacle vivant,http://arc-en-cirque.asso.fr/festival-cirqule/,45.583182552,5.90903392417,juin,septembre
Salon Du Livre De Chambœuf,42330,Chamboeuf,Auvergne-Rhône-Alpes,2012,"Livre, littérature",http://www.balades-litteraires-de-chamboeuf.com/,45.5743049771,4.32163705727,septembre,décembre
Champagnole Jazz Festival,39300,Champagnole,Bourgogne-Franche-Comté,2011,Musique,www.champagnole.fr,46.7445389751,5.8988102947,juin,septembre
Top In Humour,28000,Chartres,Centre-Val de Loire,2002,Spectacle vivant,http://www.topinhumour.fr,48.4471464884,1.50570610616,septembre,décembre
Marelle S'Emballe,18800,Chassy,Centre-Val de Loire,2018,Pluridisciplinaire,www.marellesemballe.com,47.0436728432,2.83281439128,juin,septembre
Emgav Festival,35220,Chateaubourg,Bretagne,2016,Musique,http://emgav-festival.fr/,48.120001247,-1.40402096437,septembre,décembre
Estijazz Et Musiques D'Ailleurs,49305,Cholet,Pays de la Loire,2001,Musique,www.ville-cholet.fr,47.0454402992,-0.877886189605,juin,septembre
Culture Dans Tous Les Sens,63000,Clermont-Ferrand,Auvergne-Rhône-Alpes,2009,Spectacle vivant,www.leevoirien.fr,45.7856492991,3.11554542903,janvier,juin
Jazz En Tête,63000,Clermont-Ferrand,Auvergne-Rhône-Alpes,1988,Musique,https://www.jazzentete.com/,45.7856492991,3.11554542903,juin,septembre
Journées Des Écritures De Cluny,71250,Cluny,Bourgogne-Franche-Comté,2017,"Livre, littérature",journeesdesecrituresdecluny.fr,46.4303628582,4.67033276327,septembre,décembre
En Voix !,60200,Compiègne,Hauts-de-France,2018,Musique,http://www.theatresdecompiegne.com/,49.3990601478,2.85317249363,juin,septembre
La Poule À Facettes,37320,Cormery,Centre-Val de Loire,2012,Musique,assoartlequin.wix.com/lapouleafacettes,47.2592432669,0.845873952159,janvier,juin
Les Bouffardises,24220,Coux et Bigaroque-Mouzens,Nouvelle-Aquitaine,2016,Musique,http://www.facebook.com/associationbouffardises1/,44.8481194805,0.967817151938,juin,septembre
Festival International Du Film De Femmes,94000,Créteil,Île-de-France,1979,"Cinéma, audiovisuel",filmdefemmes.com,48.7837401836,2.45463530415,janvier,juin
Festival Bretagne Sud,56750,Damgan,Bretagne,2013,Musique,www.damgan-festivanml.com,47.5225849121,-2.58591349552,juin,septembre
Les Ligériades,71160,Digoin,Bourgogne-Franche-Comté,2005,Spectacle vivant,http://les-ligeriades.over-blog.fr/,46.4891651235,4.02511604849,juin,septembre
Crocmillivre,21000,Dijon,Bourgogne-Franche-Comté,2009,"Livre, littérature",https://crocmillivre.wordpress.com/,47.3229437965,5.03788805877,septembre,décembre
Festival Du Film Britannique De Dinard,35800,Dinard,Bretagne,1990,"Cinéma, audiovisuel",https://www.dinardfilmfestival.fr/,48.6241805945,-2.0619828606,septembre,décembre
Salon Du Livre Jeunesse Douai,59500,Douai,Hauts-de-France,1995,"Livre, littérature",www.brouillonsculture.com,50.3823195335,3.09145683114,janvier,juin
Histoires En Série,59140,Dunkerque,Hauts-de-France,2019,"Livre, littérature",www.lebateaufeu.com,51.0307229078,2.33752414095,janvier,juin
Festival Du Cirque,70400,Échenans-sous-Mont-Vaudois,Bourgogne-Franche-Comté,2000,Spectacle vivant,www.odysseeducirque.info,47.6045802669,6.76783910472,juin,septembre
Festival Mélusine,89290,Escolives-Sainte-Camille,Bourgogne-Franche-Comté,2014,Musique,https://lesaulce.fr/actualites/festival/,47.7225909756,3.60249190307,juin,septembre
Festival M'Improvise,91160,Étampes,Île-de-France,2016,Musique,https://mimprovise.com,48.4211282308,2.13838881712,juin,septembre
Festival Des Coteaux Bordelais,33370,Fargues-Saint-Hilaire,Nouvelle-Aquitaine,2009,Musique,http://www.coteaux-bordelais.fr/,44.819815277,-0.439992385579,septembre,décembre
"Spectacle Hier, Un Village",12300,Flagnac,Occitanie,1982,Spectacle vivant,http://hierunvillage.com/,44.5935121569,2.2651648768,juin,septembre
Lâcher De Percussions,11560,Fleury,Occitanie,2007,Musique,https://lacherdepercus.wordpress.com/a-propos/,43.214412802,3.17666583157,janvier,juin
Festival Conte En Fête,86240,Fontaine-le-Comte,Nouvelle-Aquitaine,2010,Spectacle vivant,http://abracadaconte.wifeo.com/,46.5312436615,0.246086949225,juin,septembre
Perpesctives,57600,Forbach,Grand Est,1978,Spectacle vivant,www.festival-perspectives.de,49.1912650369,6.89275798526,septembre,décembre
Festival Des Petites Formes,97200,Fort-de-France,Martinique,2016,Spectacle vivant,Tropiques Atrium.fr,14.6411114389,-61.0691889244,,
Flambées Celtik,35300,Fougères,Bretagne,2015,Musique,https://centreculturel.fougeres-agglo.bzh/festivals/flambees-celtik/,48.3524697115,-1.19431177241,janvier,juin
Tant De Paroles,58600,Fourchambault,Bourgogne-Franche-Comté,2011,"Livre, littérature",https://www.ville-fourchambault.fr/,47.0168666428,3.09059273072,janvier,juin
Le Tympan Dans L'Oeil,38000,Grenoble,Auvergne-Rhône-Alpes,2010,Musique,www.tympandansloeil.com,45.1821215167,5.72133051752,septembre,décembre
Dox'Art Festival,50450,Hambye,Normandie,2017,Musique,https://www.doxartfestival.com,48.947434282,-1.25972475614,juin,septembre
Académie Internationale De Musique Hourtin Médoc,33990,Hourtin,Nouvelle-Aquitaine,1997,Musique,http://www.musique-hourtin.com/,45.1807913533,-1.06580080764,janvier,juin
Apéros Jazz Du Provencal,83400,Hyères,Provence-Alpes-Côte d'Azur,2010,Musique,www.jazzaporquerolles.org,43.1018713534,6.18898508469,juin,septembre
Drôles De Rues,17500,Jonzac,Nouvelle-Aquitaine,2006,Musique,www.facebook.com/drolesderues/,45.4419827405,-0.427614839205,juin,septembre
Echap & Vous,45380,La Chapelle-Saint-Mesmin,Centre-Val de Loire,2009,Spectacle vivant,www.ville-lachapellesaintmesmin.fr,47.8887063362,1.82847184827,septembre,décembre
Les Joyeuseries,41260,La Chaussée-Saint-Victor,Centre-Val de Loire,2018,Spectacle vivant,www.lesjoyeuseries.com // https://www.eclectiquemusicdiffusion.com/,47.6111559006,1.35763609326,janvier,juin
Quand L'Art Contemporain Dialogue Avec Les Sites Religieux,25300,La Cluse-et-Mijoux,Bourgogne-Franche-Comté,2016,"Arts visuels, arts numériques",https://artenchapelles.com/,46.8683471293,6.39291993544,juin,septembre
Les Insolantes,16400,La Couronne,Nouvelle-Aquitaine,2017,Musique,fr-fr.facebook.com/FestivalLesInsolAntes/,45.6096373338,0.109121178707,septembre,décembre
Pay'Ta Tong,85280,La Ferrière,Pays de la Loire,2004,Pluridisciplinaire,http://www.paytatong.com,46.7215872927,-1.33469332327,janvier,juin
La Loupe Fait Son Festival,28240,La Loupe,Centre-Val de Loire,2016,Musique,http://www.festivallaloupe-24.webself.net,48.473175806,1.02235330632,juin,septembre
Jazz In Août,17000,La Rochelle,Nouvelle-Aquitaine,2004,Musique,http://www.jazzinout.fr/,46.1620643972,-1.17465702836,juin,septembre
La Fresque De Bridiers,23300,La Souterraine,Nouvelle-Aquitaine,2006,Spectacle vivant,http://www.fresque.bridiers.fr/,46.2366579943,1.47591088913,juin,septembre
Zik' En Ville,73300,La Toussuire,Auvergne-Rhône-Alpes,2009,Musique,http://www.zikenville.fr/,45.2460484635,6.28249903846,juin,septembre
Chroniques Sf,83160,La Valette-du-Var,Provence-Alpes-Côte d'Azur,2017,Pluridisciplinaire,bibliotheque.lavalette83.fr,43.1499152044,5.99222538877,janvier,juin
Azilo,68650,Lapoutroie,Grand Est,2018,Spectacle vivant,Face Book Helpo Azilo,48.1597717593,7.15907651893,septembre,décembre
Les Gasconnades,32700,Lectoure,Occitanie,2015,Musique,https://agendatrad.org/e_2021-08/les-gasconades-de-lectoure_33906.html,43.9405030561,0.650762392132,juin,septembre
Féries Mania,59000,Lille,Hauts-de-France,2017,"Cinéma, audiovisuel",www.seriesmania.com,50.6317183168,3.04783272312,janvier,juin
Jardin Électronique,59000,Lille,Hauts-de-France,2014,Musique,https://www.jardinelectronique.com/,50.6317183168,3.04783272312,septembre,décembre
Le Père Noël Est-Il Un Rocker ?,59000,Lille,Hauts-de-France,1994,Musique,http://www.leperenoelestilunrocker.com/,50.6317183168,3.04783272312,septembre,décembre
Lille Piano(S),59000,Lille,Hauts-de-France,2004,Musique,https://www.lillepianosfestival.fr/2021/,50.6317183168,3.04783272312,juin,septembre
Les Nouvelles Aliénor - Jeune Poésie Et Nouvelles Littératures Féminines,87000,Limoges,Nouvelle-Aquitaine,2015,"Livre, littérature",site de la revue A littérature-action www.revue-a.fr,45.8542549589,1.2487579024,septembre,décembre
Les Promenades Musicales Du Pays D'Auge,14100,Lisieux,Normandie,1994,Musique,https://www.pays-auge-culture.org/,49.1466628463,0.238274840452,juin,septembre
Rencontres Photographiques Du Pays De Lorient,56100,Lorient,Bretagne,1981,"Arts visuels, arts numériques",www.galerielelieu.com,47.7500486947,-3.37823200917,septembre,décembre
En Ces Lieux...Des Livres,86120,Loudun,Nouvelle-Aquitaine,2012,"Livre, littérature",https://www.facebook.com/enceslieuxdeslivres/,47.0098072856,0.0990443124673,juin,septembre
Fête Du Violon,58170,Luzy,Bourgogne-Franche-Comté,2001,Musique,http://www.feteduviolon.com/,46.7965929965,3.99922728747,janvier,juin
Été Frappé,71000,Mâcon,Bourgogne-Franche-Comté,2002,Pluridisciplinaire,www.macon.fr,46.3205511756,4.81842529639,juin,septembre
Festival Du Vexin,95420,Magny-en-Vexin,Île-de-France,2003,Musique,fstivalduvexin.free.fr,49.158617564,1.81039322129,juin,septembre
Les Nuits De Robinson,6210,Mandelieu-La-Napoule,Provence-Alpes-Côte d'Azur,2013,Spectacle vivant,WWW.MANDELIEU.FR,43.5380510468,6.91808936542,juin,septembre
Actoral,13006,Marseille,Provence-Alpes-Côte d'Azur,2000,Pluridisciplinaire,www.actoral.org,43.296346,5.369889,septembre,décembre
Propagations,13006,Marseille,Provence-Alpes-Côte d'Azur,1990,Musique,www.gmem,43.296346,5.369889,janvier,juin
Festival Mexicain Et Latino,46600,Martel,Occitanie,2004,Musique,http://leguidedesfestivals.com/2020-annule-festival-mexicain-et-latino-de-martel-39079.html,44.9401536689,1.60734355344,janvier,juin
Mécleuves Terres De Blues,57245,Mecleuves,Grand Est,2018,Musique,www.mtb-mecleuves-terre-de-blues.com,49.0513378937,6.2779740963,septembre,décembre
La 48Ème Rue,48000,Mende,Occitanie,2006,Spectacle vivant,https://www.48emederue.org/,44.5294508592,3.48086881176,juin,septembre
Kiosqnrock,32300,Mirande,Occitanie,2014,Musique,www.kiosqnrock.fr,43.5186713962,0.410792361049,juin,septembre
Palma,14120,Mondeville,Normandie,2016,"Arts visuels, arts numériques",www.palmafestival.com,49.1693649378,-0.310691187417,septembre,décembre
Festival Eclats De Musique,82000,Montauban,Occitanie,2015,Musique,https://www.ledepartement.fr/agenda/1914-festival-eclats-de-musique-2022,44.0222594578,1.36408636501,janvier,juin
Fête Du Livre Jeunesse De Montbrison,42600,Montbrison,Auvergne-Rhône-Alpes,1984,"Livre, littérature",http://www.fetedulivre.montbrison42.fr,45.6008365515,4.0713982073,janvier,juin
L'Imprévu Festival,16310,Montembœuf,Nouvelle-Aquitaine,2001,Spectacle vivant,http://imprevu-festival.fr/,45.7738787675,0.551136998408,septembre,décembre
Festi’Gartempe,86500,Montmorillon,Nouvelle-Aquitaine,2013,Musique,http://fr-fr.facebook.com/festigartempe/,46.4263978846,0.895458347632,septembre,décembre
Arts En Chapelle,25160,Montperreux,Bourgogne-Franche-Comté,1992,"Arts visuels, arts numériques",https://www.artchapelles.com/manifestation_estivale,46.8204797871,6.34452081973,juin,septembre
